Punto geográfico	P1. En general, en su Barrio usted se siente:	P2. Con relación a hace un año, cómo se siente usted actualmente en este Barrio	P3. En general, en su Comuna o Corregimiento usted se siente:	P4. Con relación a hace un año, cómo se siente usted actualmente en esta Comuna o Corregimiento	P5. En general, en Medellín, usted se siente:	P6. Con relación a hace un año, cómo se siente usted actualmente en Medellín
POINT (-75.5815 6.30103)	2	0	2	1	4	4
POINT (-75.5873 6.22368)	2	0	4	0	4	0
POINT (-75.5772 6.30574)	2	0	2	0	2	1
POINT (-75.5915 6.20141)	2	0	2	0	2	0
POINT (-75.5696 6.30673)	2	0	2	0	2	0
POINT (-75.5696 6.30673)	1	0	2	1	2	1
POINT (-75.5909 6.22912)	2	4	2	4	3	4
POINT (-75.5909 6.22912)	3	0	3	0	2	0
POINT (-75.5919 6.19488)	1	0	1	0	2	0
POINT (-75.5919 6.19488)	2	1	2	1	1	1
POINT (-75.5772 6.30574)	2	0	2	0	2	0
POINT (-75.5891 6.28634)	3	0	3	0	3	0
POINT (-75.5891 6.28634)	2	0	1	0	4	4
POINT (-75.5891 6.28634)	2	0	2	0	2	0
POINT (-75.5915 6.19429)	2	4	4	4	3	4
POINT (-75.6136 6.22835)	2	4	2	4	3	4
POINT (-75.6136 6.22835)	1	1	1	1	2	1
POINT (-75.5788 6.29126)	2	0	2	0	2	0
POINT (-75.5788 6.29126)	2	4	2	0	4	4
POINT (-75.5767 6.29906)	3	4	3	4	4	4
POINT (-75.5753 6.29574)	2	0	2	0	3	0
POINT (-75.5753 6.29574)	2	0	2	0	2	0
POINT (-75.5753 6.29574)	2	0	2	0	2	0
POINT (-75.5843 6.22132)	2	4	2	4	2	0
POINT (-75.5843 6.22132)	1	0	1	0	1	0
POINT (-75.5987 6.2269)	2	0	2	0	2	0
POINT (-75.5615 6.31124)	2	0	2	0	2	0
POINT (-75.5615 6.31124)	2	0	3	0	3	0
POINT (-75.5942 6.25178)	2	0	2	0	2	0
POINT (-75.5857 6.22265)	2	0	2	0	3	0
POINT (-75.5857 6.22265)	2	0	2	0	2	0
POINT (-75.5728 6.30941)	2	0	2	0	3	4
POINT (-75.5797 6.29859)	2	0	2	0	1	0
POINT (-75.5644 6.31042)	2	0	2	4	3	0
POINT (-75.5644 6.31042)	3	0	3	0	3	0
POINT (-75.5772 6.30574)	1	0	2	0	2	0
POINT (-75.5861 6.2241)	2	0	2	0	2	0
POINT (-75.5861 6.2241)	2	0	2	0	3	0
POINT (-75.5723 6.28437)	2	0	2	0	3	0
POINT (-75.5723 6.28437)	2	0	2	0	2	0
POINT (-75.5723 6.28437)	2	0	2	0	2	0
POINT (-75.5737 6.30044)	2	0	2	0	2	0
POINT (-75.5737 6.30044)	3	4	3	4	4	4
POINT (-75.5803 6.29721)	2	1	2	1	2	0
POINT (-75.5728 6.30941)	3	0	3	0	4	0
POINT (-75.5772 6.30574)	3	0	2	0	3	0
POINT (-75.5788 6.29126)	2	0	4	0	2	0
POINT (-75.5749 6.28751)	3	4	3	0	3	0
POINT (-75.5749 6.28751)	3	4	3	4	3	4
POINT (-75.5767 6.29906)	1	1	2	1	1	1
POINT (-75.5728 6.30941)	1	0	1	0	2	0
POINT (-75.5942 6.25178)	2	1	1	1	1	1
POINT (-75.5723 6.28437)	2	1	2	0	2	0
